공고명,부문,채용정보,주요업무,지원자격,우대사항,채용절차,근무지,상세URL,first_seen,completed_date
채용 공고 31,WATER,,"마케팅 팀의 리더이자 서포터 역할
마케팅 콘텐츠 기획과 제작, 그리고 채널을 활용한 확산
마케팅 캠페인 방향성 및 아이디어 제안
브랜드 커뮤니케이션 전략 기획과 수립
소비자 인사이트 발굴 및 트렌드 분석
마케팅 프로모션 기획 및 실행
온라인 마케팅 채널 운영 및 관리 (광고, 자사 플랫폼, SNS 채널)
마케팅 예산 수립과 관리
","학사 이상
마케팅 분야 7년 이상 종사자, 또는 브랜드 마케팅 전략 수립 및 컨설팅 경험 보유자
운전면허 보유자
해외 출장에 결격 사유가 없는 분
","마케팅 커뮤니케이션 유관 전공자
콘텐츠 제작 및 자동차(또는 전기차) 관련 마케팅 경험자
종합 광고대행사, 디지털 대행사 경력 보유자
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/31,2026-04-07,
채용 공고 32,WATER,,"제조사, 시공사, 관리사와의 협력을 통한 충전소 구축 계약 및 시공 관리
전기차 충전소 부지 실사 및 견적 검토
전기차 충전소 설계 및 시공 표준화
B2G, B2C 전기차 충전소 구축 영업 및 경제성 검토
","학사 이상
전기차 충전 인프라 또는 유관 모빌리티 업계 경력 보유
운전 면허 보유자
","전기 기사 이상의 자격증 보유
급속 충전소 및 전기 설비를 구축한 경험 보유
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/32,2026-04-07,
채용 공고 33,WATER,,"브랜드 비주얼 아이덴티티 디자인
다양한 브랜딩 접점에서의 비주얼 크리에이티브 개발
브랜드 및 서비스를 위한 일러스트레이션 제작
서비스 브랜딩 및 마케팅 콘텐츠 디자인
온/오프라인을 아우르는 그래픽 디자인 전개
기타 브랜드 웹페이지 등 비 정기적 콘텐츠
","관련 업계 경력 3년차 이상
콘텐츠 제작 업무를 위한 디자인 툴(Adobe) 활용 능력을 보유한 분
브랜딩/그래픽 디자인 프로젝트 경험이 있는 분
마케팅 콘텐츠 디자인 업무 경험이 있는 분
디자인 관련 학과 졸업
포트폴리오 필수
","모션 그래픽 제작 역량을 갖추신 분 (Adobe After Effects 등)
3D 디자인 제작 역량을 갖추신 분 (Blender, Cinema 4D 등)
유사업계 (모빌리티, 스타트업, 에이전시)에서 디자인 업무 경험이 있는 분
모빌리티, 전기차를 포함한 자동차에 대한 관심과 이해도가 높은 분
모바일 플랫폼 및 프로덕트에 대한 이해도를 갖추신 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 과제 전형을 진행하며, 이후 1차 인터뷰와 최종 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/33,2026-04-07,
채용 공고 34,WATER,,"전기차 충전 앱 서비스 개발 전기차 충전 통합운영 관리 시스템 개발
OCPP Protocol 연동
시스템 아키텍처 개선
시스템 정기 모니터링
최신 동향과 기술을 지속적으로 연구하고 이를 개발에 적용
","Backend에 대한 설계 및 개발 경험이 3년 – 5년 실무 경력 보유
Java Lambda, Spring, Spring Boot, NestJS를 다룰 수 있는 분
다양한 서비스의 REST API를 개발해 본 경험이 있으신 분
NoSQL/SQL/DBMS/Cache/Queue에 대한 이해 및 활용 능력이 있으신 분
형상 관리 솔루션을 통한 협업 경험 및 커뮤니케이션이 유연한 분
팀과 함께 성장하며 지식을 공유하는 문화를 좋아하는 분
포트폴리오 제출 필수
","오픈 소스 사용 경험
AWS Production 환경의 운영 경험
외부 API 연동 경험
MSA (Micro Service Architecture) 이해가 있으신 분
OCPP 프로토콜 구현 경험
새로운 기술과 도구에 대한 열정과 학습 능력
모빌리티 서비스에 대한 경험을 보유하신 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 이후 1차 인터뷰와 최종 인터뷰를 진행합니다.
포트폴리오 제출은 필수입니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/34,2026-04-07,
채용 공고 35,WATER,,"전기차 충전소 운영 데이터 수집, 정제 및 분석과 시뮬레이션
전기차 충전소 매출 및 사용 패턴 분석을 통한 인사이트 도출
경영진을 위한 전기차 충전소 운영 보고서 및 기타 시각화 자료 작성
데이터 시각화 도구 (Tableau, Power BI 등) 활용한 리포트 작성
","비즈니스 데이터 관리 및 분석 관련 경력 2년 이상
데이터 시각화 도구 사용 경험 보유 (Tableau, Power BI 등)
Python, SQL을 활용 가능하며, 다양한 형태의 데이터를 다룰 수 있는 역량과 경험
포트폴리오 제출 필수
","통계학 또는 데이터 사이언스 관련 학위를 보유한 분
실시간 데이터 처리 파이프라인을 설계 및 구축하고, 운영한 경험이 있는 분
데이터 분석을 통해 실제 서비스 가치 향상에 기여한 경험이 있는 분
다양한 직군의 동료들과 커뮤니케이션하고 협업하여 결과를 만들어 내실 수 있는 분
모빌리티 업계에 대한 관심이 높으신 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 이후 1차 인터뷰와 최종 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/35,2026-04-07,
채용 공고 36,WATER,,"인사 전략 및 조직 관리: 인재 채용, 포지션별 채용 전략 수립, 채용 프로세스 개선 및 온보딩 프로세스 고도화, 인사 정책 및 성과 관리 체계 고도화
CEO와 긴밀한 협력: 다양한 HR 이슈들에 대한 해결 방안 보고 및 해결책 도출, 인사 전략 및 조직 문화 방향 설정
조직 문화: 조직 문화 전반, 임직원 소통 채널 운영, 사내 프로그램 및 이벤트 기획
총무, 일반 행정 및 오피스 관리: 오피스 매니저 채용 및 총무 업무 감독
모기업(브라이트에너지파트너스)과 협업: 인사 정책 조율 및 리포팅
","브라이트에너지파트너스의 전기차충전사업부문인 워터(WATER)는 이제 물적 분할하여 독립적인 기업으로 새롭게 도약합니다. 우리는 대한민국의 전기차 충전 시장을 선도하며, 한국도로공사와의 협업 및 고양시 전기차 충전시설 구축 사업 등 대규모 수주 실적을 통해 견고한 성장을 이뤄왔습니다. 또한, 세계 최대 자산운용사 BlackRock의 든든한 지원을 받아 사업을 더욱 확장해 나가고 있습니다.
워터는 스타트업의 유연성과 대형 인프라 투자사의 안정성을 동시에 갖춘 특별한 환경에서, 사람과 문화를 더욱 소중히 하고 재창조하고자 합니다. 우리는 이미 훌륭한 팀과 문화를 구축했으며, 워터의 조직 문화 가치를 기반으로 팀을 더욱 발전시키고 인사 전략과 조직 문화를 이끌어갈 리더를 찾고 있습니다. 이 자리는 단순한 HR이나 총무의 역할을 넘어, 대표(CEO)와 긴밀하게 협력하며 워터의 핵심 파트너로 성장할 수 있는 자리입니다.
전기차충전사업부문 워터의 유대원 대표, 그리고 업계 최고의 팀원들과 함께 성장하고 사람 중심의 문화를 만들어 나가고자 하는 리더십을 가진 당신을 기다립니다.
채용 분야
인사
채용 직급
팀장
채용 인원
1명
채용 기간
2025년 2월 28일까지
서류 접수 및 평가 후 개별 면접을 진행하므로, 채용 기간은 조기 종료될 수 있습니다.
HRM (채용, 성과 관리, 보상, 노무, HRBP 등) 경력 7년 이상으로 실무 전반을 다루어 본 분
인사 전략 수립 및 조직 문화 기획 경험 보유
스타트업 또는 급성장 기업에서 채용 및 조직 관리 경험
대내외 이해관계자와의 원활한 소통 및 협업 능력
","스타트업 또는 급성장 기업에서 채용 및 조직 관리 경험
HRM과 HRD 동시 경험이 있으며, 그러한 팀의 관리자/리더 혹은 그에 준하는 역할 수행 경험이 있는 분
조직이 빠르게 고속 성장하며 스케일이 커지는 변화 속에서 유의미한 제도적 솔루션 도입 경험을 보유하신 분
비즈니스 영어 커뮤니케이션이 가능하신 분
긍정적인 멘탈리티와 허슬러 정신
다양한 직군의 동료들과 겸손한 자세에서 커뮤니케이션하고 협업하여 결과를 만들어 내실 수 있는 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 이후 1차 인터뷰와 최종 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
이력서 및 자기 소개서를 포함한 지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/36,2026-04-07,
채용 공고 37,WATER,,"재무 전략 수립 및 자금 조달: 국내외 금융 기관과 협력하여 자본 조달 및 프로젝트 파이낸싱 자본 시장 전략 주도: 투자자 및 이해 관계자 네트워크 구축 및 강화 (Investor Relations), 재무 보고와 리스크 관리 등 정기 보고 리포팅 체계 구축
재무/회계 및 투자 금융 조직 구성과 총괄 운영
M&A 및 투자 기회 발굴: 기업 인수와 밸류업 전략 수립
재무 리스크 관리 및 회계 관리: K-IFRS에 따른 재무제표 작성 및 내부 통제 강화
","브라이트에너지파트너스의 전기차충전사업부문인 워터(WATER)는 이제 물적 분할하여 독립적인 기업으로 새롭게 도약합니다. 우리는 대한민국의 전기차 충전 시장을 선도하며, 한국도로공사와의 협업 및 고양시 전기차 충전시설 구축 사업 등 대규모 수주 실적을 통해 견고한 성장을 이뤄왔습니다. 또한, 세계 최대 자산운용사 BlackRock의 든든한 지원을 받아 사업을 더욱 확장해 나가고 있습니다.
워터는 스타트업의 유연성과 속도를 유지하면서도 견고한 사업 모델과 확실한 시장 입지를 기반으로 IPO와 같은 새로운 성장 트랙을 기대하고 있습니다. 성공적인 발판을 마련한 지금, 새로운 성장을 가속화할 차례입니다. 우리가 구축한 충전 인프라와 소중하고 자랑스러운 프로덕트, 그리고 빛나는 수주 실적을 기반으로 새로운 성장 여정과 도전을 함께 할 파트너를 찾고자 합니다.
전기차충전사업부문 워터의 유대원 대표, 그리고 업계 최고의 팀과 함께 머리를 맞대고 미래를 설계하며 회사를 이끌어가고 뒷받침할 재무 및 투자 금융 전문가를 모십니다. 초기 도전 과제를 해결하고, 자본 조달 및 성장 전략을 주도하며 회사의 비전을 실현할 인재를 기다립니다.
채용 분야
재무 및 투자 금융 총괄
채용 직급
임원
채용 인원
1명
채용 기간
2025년 5월 30일까지
서류 접수 및 평가 후 개별 면접을 진행하므로, 채용 기간은 조기 종료될 수 있습니다.
기업금융 경력 7년 이상 (투자은행, 대기업 재무팀, PE, VC 또는 회계법인 등)
투자 유치, PF, 구조화금융, M&A, IPO 등 실행 및 자문 경험
다양한 시나리오 분석 및 예측을 통해 전략적 의사 결정에 기여할 수 있는 고급 수준의 재무 모델링 역량 보유
재무 리스크 관리 및 회계 시스템에 대한 이해
","한국공인회계사(KICPA) 또는 미국공인회계사(USCPA)
CFA Charterholder 또는 Finance MBA
스타트업에서 자금 조달 및 재무 전략을 이끈 경험
자유로운 영어 커뮤니케이션 능력
글로벌 자본 시장 네트워크 보유
다양한 직군의 동료들과 겸손한 자세에서 커뮤니케이션하고 협업하여 결과를 만들어 내실 수 있는 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 이후 1차 인터뷰와 최종 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
이력서 및 자기 소개서를 포함한 지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/37,2026-04-07,
채용 공고 38,WATER,,"전기차충전 서비스 기반의 기획 업무
전기차충전 시장 분석과 인사이트 도출
사용자 요구사항 분석을 통한 기획 실행
App 및 홈페이지 UI/UX 스토리보드 설계
화면/기능 정의서 및 사용자 시나리오 작성
유관 부서와의 프로젝트 일정 관리 및 커뮤니케이션
","관련 경력 1년 이상의 주니어 서비스 기획자
Native 또는 Hybrid App 서비스 기획 경험이 있으신 분
IA 작성 및 스토리보드 설계가 가능한 분 (PPT)
원활한 커뮤니케이션 능력을 보유하신 분
포트폴리오 제출 필수
","소프트웨어 공학 관련 전공자 또는 개발에 대한 이해도가 있으신 분
Jira, Figma 등 협업 도구 Tool 사용 경험이 있으신 분
모빌리티 서비스에 대한 기획 경험을 보유하신 분
전기차 충전과 관련된 비즈니스에 관심이 많으신 분
신규 서비스 론칭을 경험해보신 분
분석적 사고를 기반으로 문제 해결 능력을 가지신 분
SI 프로젝트 또는 에이전시 경험이 있으신 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/38,2026-04-07,
채용 공고 39,WATER,,"서비스 기획팀 리더이자 서포터 역할
국내/해외 업계 분석을 통한 인사이트 도출 및 기획
핵심 프로젝트 전략 및 정책 수립을 통한 상위 기획
Front (App, 홈페이지 등) UI/UX 기획
Back Office 및 충전소 운영 관리 시스템 기획
유관 부서와의 프로젝트 일정 관리 및 커뮤니케이션
지속적인 서비스 모니터링을 통한 문제를 정의하고 개선 방향 제시
","관련 경력 8년 이상의 시니어 기획자
서비스 전략에 대한 정책 수립 및 기획 경험을 보유하신 분
Native 또는 Hybrid App 서비스 기획 경험이 있으신 분
(반응형)웹 서비스 기획 경험이 있으신 분
서버 구조 이해를 바탕으로 기획력이 있으신 분
기능명세서, 와이어프레임, 스토리보드 등 작성이 가능하신 분
Jira, Figma 등 협업 도구 Tool 사용 경험이 있으신 분
모빌리티 산업에 관심이 있는 분
원활한 커뮤니케이션 능력을 보유하신 분
포트폴리오 제출 필수
","소프트웨어 공학 관련 전공자 또는 개발에 대한 이해도가 높으신 분
모빌리티 서비스에 대한 기획 경험을 보유하신 분
전기차 충전과 관련된 비즈니스에 관심이 많으신 분
신규 서비스 론칭을 경험해보신 분
분석적 사고를 기반으로 문제 해결 능력을 가지신 분
SI 프로젝트 또는 에이전시 경험이 있으신 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/39,2026-04-07,
채용 공고 40,WATER,,"나라장터 및 e나라도움 행정업무 지원
국고 보조금 사업 신청, 변경, 완료 업무
사업 제안서 작성 및 지원
충전소 계약서 및 계약서 관련 행정 업무
충전소 구축 계약 및 시공 일정 관리
전기차 충전소 신규 안건에 대한 경제성 검토
제조사, 시공사, 관리사와의 협력을 통한 충전소 구축 계약 및 시공 관리
","관련 경력 1년 이상의 주니어 경력자
국고보조금, 나라장터, e나라도움 시스템 경험하신 분
원활한 커뮤니케이션 능력을 보유하신 분
","전기차 충전 인프라 또는 유관 모빌리티 업계 경력 보유
마이크로소프트 엑셀, 워드, 파워포인트에 능숙하신 분
보조금과 관련된 행정 업무를 경험해 보신 분
전기차를 타시는 분
근무 장소
서울 본사 (광화문 케이트윈타워)
","인터뷰는 비대면 화상 인터뷰 또는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 자유롭게 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/40,2026-04-07,
채용 공고 41,WATER,,"전기차 충전 서비스 UI / UX 개선 및 고도화
디자인 시스템 구축 및 관리
사용자 시나리오를 계획하고 프로토타이핑하여 사용성 점검
서비스 전반 운영에 필요한 각종 디자인 에셋 작업
","UI / UX 디자인 분야의 경력 1년 이상인 분
Figma를 통해 Mobile, PC Web 설계 디자인 경험이 있는 분
디자인 시스템 구축 및 운영 경험이 있는 분
조형적 완성도가 높고, 심미성이 뛰어난 GUI 디자인 역량을 보유하고 있는 분
Android, iOS 실무 환경에 대한 이해가 있는 분
Figma, Adobe 등 디자인 툴 숙련자
포트폴리오 제출 필수
","모션 및 인터랙션 디자인에 강점이 있으신 분
Figma, Protopie로 프로토타이핑을 능숙하게 다룰 수 있는 분
디자인 시스템에 대한 다수의 경험과 높은 이해도를 보유하신 분
유사업계(모빌리티, 스타트업, 에이전시)에서 디자인 업무 경험이 있는 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/41,2026-04-07,
채용 공고 42,WATER,,"전기안전관리자 직무고시 수행
전기안전 점검 중 이상 확인 시 전파 및 개선 요청
전기안전 점검 이력 관리
전기차 충전기 정기 점검
정기 점검 중 충전기 기능 이상 시 조치
","전기기사 또는 전기기능장 취득 이후 실무경력 2년 이상 또는
전기산업기사 취득 이후 실무경력 4년 이상이신 분 (한국전기 기술인 협회 중급 경력 수첩)
전기안전관리자 선임이 가능하신 분
운전면허 보유 및 지방 출장이 가능하신 분
","전기안전관리자 직무 경력이 있으신 분
수변전 설비 유지보수 또는 공사 경력이 있으신 분
전기차 충전 인프라 또는 유관 모빌리티 업계 경력이 있으신 분
전기차를 타시는 분 😊
근무 장소
서울 본사 (광화문 케이트윈타워)
","서류 접수 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직급에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 작성하시어 people@watercharging.com 으로 보내주시기 바랍니다.
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/42,2026-04-07,
채용 공고 45,WATER,,"충전기와 안정적으로 연결될 수 있도록 구조를 설계하고, 여러 제조사의 기기가 문제없이 소통할 수 있게 꾸준히 개선
충전소 상태를 실시간으로 모니터링하며, 문제가 발생하면 빠르게 대응할 수 있도록 내부 관제 시스템을 만들고 운영
사용자가 앱에서 충전부터 결제, 이용 이력 확인까지 모든 과정을 편안하게 이용할 수 있도록 필요한 기능들을 설계하고 관리
실시간 데이터 처리와 시스템 간 원활한 연동을 통해, 전체 서비스가 끊김 없이 자연스럽게 이어지도록 지원
","백엔드 개발 경력 5년 이상 또는 그에 준하는 역량을 보유하신 분
Java(Spring Boot) 및 Nest.js 기반 서비스 개발과 운영 경험이 있으신 분
API 설계, DB 모델링, 시스템 아키텍처에 대한 깊은 이해를 갖고 계신 분
서비스 안정성과 확장성을 고려하며 문제를 논리적이고 구조적으로 해결하는 데 익숙하신 분
협업과 커뮤니케이션에 있어 유연하고 열린 태도를 가지신 분
‘왜 이렇게 만들까?’를 고민하며, 더 나은 방향을 스스로 제안해본 경험이 있는 분
","WebSocket 기반 실시간 서비스나 Kafka 등을 활용한 비동기 처리 경험이 있으신 분
다양한 사용자의 요청이나 상태를 실시간으로 처리하는 시스템을 구축해보신 분
시스템 간 메시지 흐름, 데이터 스트림 구조에 관심 있고 이해도가 높으신 분
MSA 환경 또는 DevOps 문화에 익숙하신 분
문제 앞에서 주저하지 않고, 직접 길을 찾아 나서는 분
팀과 함께 더 나은 결과를 위해 열린 마음으로 소통하고, 서로의 의견을 귀 기울여 들으시는 분
새로운 기술과 도전을 스스로 찾아 배우며 성장하시는 분
전기차를 타시거나 전기차에 관심이 많으신 분
부서 소개
우리 팀은 각기 다른 여러 도메인에서 근무한 경험자들이 모여 있습니다. 각자의 업무 경험을 바탕으로 조금 더 나은 방향으로 가고자 합니다.
서로의 의견을 존중하고 경청하려고 노력합니다. 틀림이 아닌 다르다고 생각하려 노력하고, 본인의 의견이 수렴되지 않더라도 다른 사람의 의견을 존중해주려 합니다.
항상 배우고 성장하기 위해 서로에게 좋은 내용을 공유하며 소통하려고 노력합니다. 개인의 성장은 팀과 회사의 성장이 된다는 생각으로 오늘보다 더 나은 내일을 위해 노력합니다.
각자의 취향을 존중하지만 때로는 일치된 단결력을 보이는 도깨비 팀이기도 합니다. 업무를 할 때도 열심히 놀 때도 열심히 하고자 하는 팀입니다.
근무 장소
서울 본사(광화문 케이트윈타워)
","서류 접수 및 평가 후 1차 인터뷰, 2차 인터뷰를 진행합니다.
모든 인터뷰는 대면 인터뷰로 이루어지며, 지원자가 1명인 형태로 진행됩니다.
채용 분야와 직위 또는 직책 수준 등에 따라 추가 인터뷰 및 평판 조회 절차가 추가될 수 있습니다.
인터뷰 일정은 이메일을 통해 별도 협의하여 가장 빠른 일정으로 제안 드립니다.
지원 방법
지원 서류를 작성하시어
people@watercharging.com
으로 보내주시기 바랍니다.
입사 지원 시 이력서 및 자기소개서 등이 포함된 자유 양식으로 PDF 파일로 송부해주시기 바라며, 필요시 포트폴리오를 함께 보내주셔도 좋습니다.
이때, 메일 제목에는 지원하시는 분야를 기재해주시면 감사하겠습니다.
(예시: [백엔드 개발] 홍길동 입사지원 합니다)
참고 자료
워터의 비전 (클릭하여 읽어보기)
워터의 양양 서피비치 오프닝 세레모니 (클릭하여 시청하기)
우리에 대해 알고 싶어? (클릭하여 시청하기)
",,https://watercharging.com/recruitments/45,2026-04-07,
